Acme,"Diploid. Self sterile."
Akero,"Diploid. Self sterile."
Alkmene,"Self fertile but produces the best crops when grown in proximity to a suitable source of pollen."
"Alnarp 2",
Alpinist,"Self sterile."
Alton,"Diploid. Self sterile."
"YELLOW TRANSPARENT","Diploid. Self sterile."
Ambrosia,"Diploid. Self sterile."
"American Summer Pearmain","Diploid. Self sterile."
"Ananas Berżenicki","Self fertile, but produces best crops in the presence of a compatible pollinator."
"Anis Aliy K-32",
Anisim,"Self sterile."
Anna,
"Annie Elizabeth","Diploid. Self sterile."
Anoka,"Diploid. Self sterile."
"Antonovka Ottawa","Self sterile."
"Apfel aus Grunheide","Self sterile."
"Arkad Zimnyi","Self sterile."
"Arkansas Black","Triploid. Produces only sterile pollen."
"Arkansas Black","Triploid. Group C, Day 10."
Arlet,"Diploid. Self sterile."
Aroma,"Diploid. Self fertile but crops best in the proximity of a compatible source of pollen."
Atlas,"Self sterile."
Auralia,"Self sterile. Group E. Day 16. Tloerant of late fros"
"Autumn Arctic","Diploid. Self sterile."
Balancier,"Self sterile."
Baldwin,"Triploid. Does not produce viable pollen, needs to be grown in proximity of a suitable source of pollen."
"Gallia Beauty","Diploid. Partially self fertile but produces better crops when grown in proximity to a suitable source of pollen."
Ballyfatten,"Self sterile.   First record of this  Group E. Day 17.  ?  ?  ?  s"
"Banon's Seedling","Self sterile."
Barry,"Diploid. Self sterile."
"Bashkirian Beauty","Self sterile."
Battleford,"Diploid. Self sterile."
"Baumann's Reinette","Diploid. Self sterile."
Baxter,"Diploid. Self sterile."
Bean,"Self sterile."
"Beautiful Arcade","Diploid. Self sterile."
"Beauty of Bath","Diploid. Self fertile."
"Bedford Red","Self sterile. Group D. Day 13."
Beforest,"Diploid. Self sterile."
"Belle Fille","Diploid. Self sterile."
"Belle Norman","Self sterile."
"Belle de Boskoop","Triploid. Produces no viable pollen for itself or other apple trees. Needs a nearby source of viable pollen in order to produce fruit."
"Belle de Crollon","Self sterile."
Benham,"Diploid. Self sterile."
Benham,"Diploid. Self sterile."
"Benitts Roter Finkenwerde","Self sterile."
Benoni,"Diploid. Self sterile."
"Beverly Hills","Partially self fertile. Group D. Day 15."
Bietigheimer,
Bisbee,"Self sterile."
"Bisbee Giant Winesap","Triploid. Does not produce viable pollen for itself or other apple trees. Needs to be grown in proximity to a source of compatible pollen."
"Black Crofton","Diploid. Self sterile."
"Black Gilliflower","Diploid. Self sterile."
"Black Oxford",
"Blahova Ruzena","Self sterile."
Blair,"Self sterile. Group B. Day 7."
Blairmont,"ab afgb The flowers can tolerate late frosts."
"Blanc Mollet","Self sterile."
Blaze,"Diploid. Self sterile."
"Blenheim Orange","Triploid. Produces only infertile pollen and requires the proximity of a source of viable pollen in order to produce normal crops of fruit."
"Blue Pearmain","Diploid. Self Sterile."
Boche,"Self sterile."
Boiken,"Dipoloid. Self sterile. Heavy pollen production."
Bonza,"Diploid. Self sterile."
Braeburn,"Self fertile but produces the best crops in the proximity of a suitable pollen donor."
Brazil,"Self sterile."
Britegold,"Diploid. Self sterile."
Britemac,"Diploid. Self sterile."
Brusnichnoe,"Self sterile."
Burgundy,"Diploid. Self sterile."
Camuzat,"Self sterile."
"Captain Kidd","Self sterile."
Caravel,"Diploid. Self sterile."
Carlton,"Self sterile. Group B. Day 6."
Carola,"Diploid. Self sterile."
Carroll,"Diploid. Self sterile."
Cartigny,"Diploid. Self sterile."
Champlain,"Self sterile."
Charden,"Triploid. Does not produce viable pollen for other apple trees."
Charlamoff,"Diploid. Self sterile."
"Charles Ross","Partly self fertile but produces the best crops in the proximity of a compatible source of pollen."
Chautauqua,"Diploid. Self sterile."
"Cheal's Golden Gem","Self sterile."
Cheddar,"Self sterile."
Chehalis,"Self fertile but produces the best crops in the presence of a suitable source of pollen."
"Chenango Strawberry","Diploid. Self sterile."
Chieftain,"Diploid. Self sterile."
"Clear Gold","Self sterile."
Clivia,"Diploid. Self sterile."
"Coat Jersey","Self sterile."
"Coconut Crunch","Diploid. Self sterile."
"Coe's Golden Drop",
"Colby Baldwin","Self sterile."
Cole,"Self sterile."
"Collamer Twenty Ounce",
Collet,"Diploid. Self sterile."
Conrad,"Diploid. Self sterile."
"Coombs Wealthy",
"Co-op 28","Diploid. Self sterile."
"Co-op 29","Diploid. Self sterile."
"Cornish Gilliflower","Diploid. Self sterile."
Cortland,"Diploid. Self sterile."
"Court Royal","Triploid. Does not produce viable pollen for other apple trees."
"Golden Precoce","Diploid. Self sterile."
"Golden Winesap","Self sterile."
Goldjon,"Self sterile. Group D Day 24."
Goldsmith,"Self sterile. Group ???? Day ???? Late bloom"
Goodland,
"Granite Beauty","Diploid. Self sterile."
"Granny Smith","Diploid. Self fertile but produces best with a nearby source of compatible pollen."
Greendale,"Diploid. Self sterile."
Greensleeves,
Grenadier,"Partially self-fertile but a compatible pollinizer will maximize the yield."
Guldborg,"Diploid. Self sterile."
"Halberstadter Jungfernapfel","Diploid. Self sterile."
Harcourt,"Self sterile."
"Hardy Cumberland","Diploid. Self sterile."
Hawkeye,"Diploid. Self-sterile."
Heimenhofer,"Diploid. Self sterile."
Charlotte,
Herma,"Self sterile. Group C Day9"
Hibernal,"Triploid. Produces sterile pollen and needs a source of viable pollen nearby in order to produce fruit."
Hokuto,Triploid.
Holland,
Holly,"Self sterile."
Holstein,"Triploid. The pollen is sterile and cannot be used by other apple trees."
Honeygold,"Diploid. Self sterile."
Hoover,"Diploid. Self sterile."
"Howgate Wonder",
"Hudson's Golden Gem","Partly self fertile but does best with a source of compatible pollen close by."
Huvitus,"Self sterile."
Idagold,"Diploid. Self sterile."
Idajon,"Diploid. Self sterile."
Idared,"Diploid. Self sterile."
"Imperial Stayman","Self sterile."
Ingol,"Diploid. Self sterile."
Ingram,"Diploid. Self sterile."
"Ingrid Marie",
Iwakami,"Diploid. Self sterile."
"Jakob Fischer","Triploid. Group ???? Day ???? early. Sensitive to l frosts."
"Jan Steen","Self sterile. Group E Day 18"
Jewel,"Self sterile."
"Jewett Red","Diploid. Self sterile."
Joan,"Diploid. Self sterile."
"Crawley Reinette","Self sterile. Group D. Day 15."
"Creamy Kitaika","Self sterile."
"Crimson Beauty",
"Crimson Bramley","Self sterile."
"Crimson Crisp","Self sterile."
"Crimson Gold","Diploid. Self sterile."
Crollon,"Diploid. Self sterile."
Crookston,"Self sterile."
"crow egg","Self sterile."
Dakota,"Diploid. Self sterile."
"Deacon Jones","Diploid. Self sterile."
Delikates,"Self sterile."
Democrat,"Self sterile. Group C. Day 8."
"Devonshire Quarrenden","Diploid. Partially self-fertile, but produces the best harvest when grown in proximity to a source of compatible pollen."
Diana,"Self sterile. Group C. Day 10."
Diana,"Self sterile."
"Directeur Lesage","Self sterile. Group B. Day 6."
Discovery,"Diploid. Self sterile."
Drakenstein,
"Dukát","Diploid. Self sterile."
Dufflin,"Self sterile."
Dulcina,"Self sterile."
Dunning,"Diploid. Self sterile."
Earliblaze,
"Early Banta","Diploid. Self sterile."
"Early Crimson",
"Early Harvest","Diploid. Self sterile."
"Early Joe","Diploid. Self sterile."
Ecolette,"Self sterile."
Eden,"Diploid. Self sterile."
"Egremont Russet","Somewhat self-fertile, but produces best when paired with a compatible pollination partner."
"Egri Piros","Self sterile."
"Ein Shemer","Partially self fertile."
Elektra,"Self sterile. Group B Day 7"
"Ellison's Orange","Partly self fertile but produces best with a compatible source of pollen."
Elstar,"Diploid. Self sterile."
Emilia,"Diploid. Self sterile."
Empire,"Diploid. Self fertile but produces best with a suitable pollinizer."
Empress,"Self sterile. Group D Day 12"
"Ernst Bosch","Diploid. Self sterile."
"Esopus Spitzenburg","Diploid. Partially self sterile."
"Exeter Cross","Exeter Cross. Group C. Day 11."
Fallawater,"Triploid. Produces no viable pollen for itself nor neighbouring apple trees."
Fantazja,"Diploid. Self sterile."
"Fenouillet gris","Self sterile."
"Field Spy","Self sterile."
"Finson's Orange","Self sterile."
Fireside,
Florina,"Diploid. Self sterile."
"Flower of Kent","Diploid. Self sterile."
Freedom,"Diploid. Self sterile."
"Freiherr von Berlepsch","Diploid. Self sterile."
Galicia,"Self sterile."
Garland,"Diploid. Self sterile."
Garrison,"Diploid. Self sterile."
"Geeveston Fanny","Diploid. Self-sterile."
Generos,"Diploid. Self sterile."
"Geneva Early","Diploid. Self sterile."
"George Cave","Self fertile but produces best with a pollinizer."
"Gibbs Golden Gage","Self sterile."
"Ginger Gold","Diploid. Self sterile."
Gladstone,"Partly self sterile but produces best in the presence of a source of compatible pollen."
"Golden Delicious","Self fertile, but the crop improves in the presence of a compatible source of pollen."
"Golden Noble","Diploid. Self sterile."
"Golden Nugget","Diploid. Self sterile."
"Golden Nugget","Self sterile."
"John Standish","Diploid. Self sterile."
Jonafree,
Jonagold,"Triploid. Produces only sterile pollen. Do not use Golden Delicious as a pollinator since it is incompatible."
Jonagram,"Self sterile."
Jonalicious,"Diploid. Self sterile."
Jonamac,"Diploid. Self sterile."
Jonathan,"Diploid. Self fertile but needs a pollinizer for optimum production."
Judaine,"Diploid. Self sterile."
Judeline,"Diploid. Self sterile."
"June Wealthy","Diploid. Self sterile."
"Kaiser Wilhelm","Triploid. Does not produce viable pollen for itself or other apple trees."
Kamsomolez,Diploid.
"Kandil Sinap","Diploid. Self sterile."
"Kardinal Bea","Diploid. Self sterile."
Katja,"Diploid. Self sterile."
"Keegan's Crab","Self sterile."
Keepsake,"Diploid. Self sterile."
Kemp,"Self sterile. Group D Day 13"
Kendall,"Self sterile. Group B. Day 7."
Kestrel,"Diploid. Self sterile."
Kile,"Self sterile. Group C Day 10"
King,"Partially self fertile. Group ???? Day ????"
"King Cole","Self sterile. Group C Day 9"
"King David","Diploid. Self sterile."
"King Harry","Self sterile."
"King of the Pippins",
Kinsei,"Self sterile."
Kitanosachi,"Diploid. Self sterile."
Kogetsu,
Korei,"Self sterile. Group C Day 11"
Korobovka,"Self sterile. Group C. Day 8. The flowers can tolerate late frosts."
Korona,"Self sterile."
Kosmonaut,"Self sterile. Group C Day 10"
LuraRed,"Diploid. Self-sterile."
"Lambrook Pippin","Self sterile."
Langworthy,"Self sterile."
"Late Strawberry","Diploid. Self sterile."
Lemoen,"Self sterile. Group C Day 10"
"Lemon Pippin","Diploid. Self sterile."
Linda,"Self sterile. Group B. Day 7."
Lindel,"Diploid. Self sterile."
Lobo,
"Lorna Doone","Self sterile. Group D Day 12"
Lowry,"Diploid Self sterile."
Macfree,"Diploid. Self sterile."
Macoun,"Diploid. Self sterile."
"Magnolia Gold","Diploid. Self sterile."
"Maiden Blush","Diploid. Self sterile."
"Maiden Blush","Self sterile."
Maigold,"Diploid. Self-sterile."
Major,"Diploid. Self sterile."
Malinda,
"Malling Kent","Diploid. Self sterile."
"Malt Bagaevskii","Self sterile."
"Manitoba Spy","Self sterile."
Mantet,"Diploid. Self sterile."
Mariborka,"Self sterile. Group E Day 17"
"Marin Onfroy",
Marquesa,"Self sterile."
Martha,"Self sterile."
"McClintock Grimes","Self sterile."
McIntosh,"Diploid. Partially self-fertile but produces best in proximity to trees with compatible pollen."
McShay,"Diploid. Self sterile."
Medina,"Diploid. Self sterile."
Megumi,"Diploid. Self sterile."
Melba,"Diploid. Self sterile."
Melrose,"Diploid. Self-sterile."
"Merton Beauty","Diploid. Self sterile."
"Merton Delight","Self sterile. Group C Day 11"
"Middleton Fameuse","Diploid. Self sterile."
Milton,"Diploid. Self sterile."
Milwaukee,"Self sterile."
Mingan,"Self sterile."
"Minister von Hammerstein","Self sterile. Group C Day 9"
Mio,"Self sterile. Group D Day 13"
Moira,"Diploid. Self sterile."
"Monmouth Beauty","Diploid. Self sterile."
Montgomery,"Self sterile."
Montgomery,"Diploid. Self sterile."
"Morden 363","Self sterile."
"Crimson Gold","Self sterile."
Murasaki,"Self sterile. Group C Day 11"
Murray,"Diploid. Self sterile."
"Muscadet de Dieppe","Diploid. Self sterile."
Nanny,
Niagara,"Diploid. Self sterile."
Nico,"Self sterile. Group A Day 0"
Nittany,"Diploid. Self sterile."
"No Blow","Self sterile."
Norda,"Diploid. Self sterile."
"Norfolk Royal","Self sterile. Group D. Day 14."
Norhey,"Diploid. Self sterile."
Norland,"Diploid. Self sterile."
"Northern Lights","Diploid. Self sterile."
"Nova Easygro","Diploid. Self sterile."
Nubeena,"Self sterile."
Nugget,
Odin,"Self sterile. Group D Day 15"
Ogden,"Diploid. Self sterile."
"Ohio Nonpareil","Diploid. Self sterile."
"Old Pearmain","Diploid. Self sterile."
Orin,"Diploid. Self sterile."
Orleans,"Diploid. Self sterile."
Ortley,"Diploid. Self sterile."
Oswego,"Self sterile."
Otava,"Diploid. Self sterile."
"Ottawa 274","Self sterile."
"Ottawa 292","Self sterile."
Oxbo,"Self sterile."
"Ozark Gold",
Paragon,"Diploid. Self sterile."
"Peau de Vache","Self sterile."
Pederstrup,"Self sterile. Group C Day 10"
Petrel,"Self sterile."
Pewaukee,"Self sterile. Group C Day 9"
"Pfirsichroter Sommerapfel","Self sterile. Group B Day 4"
Pia,"Diploid. Self sterile."
Piflora,"Diploid. Self sterile."
Pigeonnet,"Self sterile. Group D Day 12"
"Pink Lady","Self sterile."
"Pink Pearl","Diploid. Self sterile."
Pinova,"Diploid. Self sterile."
Pionier,"Diploid. Self sterile."
Pixie,"Diploid. Self sterile."
"Pomme Grise","Diploid. Self sterile."
"Pomme Raisin","Self sterile. Group C. Day 10. Not compatible with Canada Reinette or Golden Pearmain."
Porter,"Diploid. Self sterile."
"Pumpkin Sweet","Diploid. Self sterile."
Priam,"Diploid. Self sterile."
Primate,"Diploid. Self sterile."
"Prime Red","Diploid. Self sterile."
Primus,"Self sterile. Group D Day 12"
Princesa,"Self sterile."
Princesse,"Self sterile. Group F. Day 20."
Priscilla,
"Pumpkin Sweet","Diploid. Self sterile."
"Purpurroter Cousinot","Diploid. Self fertile but produces best in proximity to a source of compatible pollen."
"Quebec Belle","Diploid. Self sterile."
Quindell,"Diploid. Self sterile."
Quinte,"Diploid. Self sterile."
"Rambour Franc","Diploid. Self sterile."
Ranger,"Diploid. Self sterile."
Rebella,"Diploid. Self sterile."
"Red Baron","Diploid. Self sterile."
"Red Canada","Diploid. Self sterile."
"Red Canel","Self sterile."
"Red Cinnamon","Self sterile."
"Red Paducah","Diploid. Self sterile."
"Red Ralls","Self sterile."
"Red Sauce","Diploid. Self sterile."
"Red Spitzenburg",
"Red Spy","Self sterile."
Redfree,
Redgold,"Self sterile. Group ???? Day 10"
Redhook,"Self sterile."
Regent,
Regine,"Self sterile. Group C. Day 9. Tolerant of late fros"
Reglindis,"Self sterile. Group C. Day 10. The blossoms can tolerate late frosts."
"Reine des Reinettes",
"Reinette Grise","Self sterile."
"Reinette Russet","Diploid. Self sterile."
"Reinette Simirenko","Diploid. Self sterile."
"Reinette Thouin","Self sterile. Group D Day 15"
"Reinette Van Ekenstein","Self sterile. Group C Day 9"
Remura,"Self sterile."
Renown,"Diploid Self sterile."
Resi,"Diploid. Self sterile."
"Rhode Island Greening","Though not actually a triploid, the Greening produces poor quality pollen."
Richelieu,"Diploid. Self sterile."
"Richland Crab","Self sterile."
Rokewood,"Self sterile. Group B Day 6"
"Romus 3","Self sterile."
"Rosemary Russet","Diploid. Self sterile."
"Rosu de Cluj","Diploid. Self sterile."
"Roter Eiserapfel",
Rougemont,"Self sterile. Group ???? Day 1"
Rouville,"Self sterile."
"Roxbury Russet","Partially self-fertile but produces best crops in the proximity of a suitable source of pollen."
"Blahova Ruzena","Diploid. Self sterile."
"San Jacinto","Self sterile."
"San Juan","Self sterile."
Sayaka,"Self sterile."
Sensacion,"Self sterile."
Senshu,"Self sterile."
Sharon,"Diploid. Self sterile."
Shawnee,"Self sterile."
Shizuka,"Triploid. Produces no valid pollen for itself or other apple trees."
"Signe Tillisch","Diploid. Self sterile."
Sinta,"Diploid. Self sterile."
Smokehouse,"Diploid. Self sterile"
"Souvenir De Fernand Cognet","Self sterile."
Spartan,"Diploid. Self fertile but produces the best crops in the proximity of a suitable source of pollen."
Spencer,"Diploid. Self sterile."
"Spokane Beauty","Diploid. Self sterile."
Stayman,"Triploid. Produces no viable pollen for other apple trees."
"Stembridge Cluster","Self sterile. Group ???? Day 2     crawford lists i   F20, another source states medium late."
Summerred,"Diploid. Self sterile."
Sundance,
Sunrise,"Diploid. Self sterile."
Sunrise,"Diploid. Self sterile."
Sunset,"Self fertile. Group C. Day 9. The blossoms are"
Suntan,"Triploid. Group F Day 10. The blossoms tolerate late frosts."
Supermac,
"Sweet Caroline","Self sterile. Group D Day 14"
"Sweet Delicious","Diploid. Self sterile."
"Zoete Ermgaard","Self sterile. Group E Day 20"
Sylvia,"Diploid. Self sterile."
Tasty,"Self sterile."
Tioga,"Diploid. Self sterile."
Akane,
Toko,"Self sterile."
"Tom Putt","Self sterile. Group C. Day 10."
Topaz,"Diploid. Self sterile."
Trent,"Self sterile."
Tsugaru,
Tsugaru,"Diploid. Self sterile."
"Twistbody Jersey","Diploid. Self sterile."
"Michaelmas Red",
Vanda,"Diploid. Self sterile."
Viking,"Diploid. Self sterile."
Voinea,"Diploid. Self sterile."
Wealthy,"Diploid. Self fertile but produces best in the presence of a compatible source of pollen."
"William Crump","Diploid. Self sterile."
"Worcester Pearmain","Diploid. Partially self fertile."
Wright,"Diploid. Self sterile."
"Yellow Bellflower",
Amelia,"Diploid. Self sterile."
"Amère de Bellevue","Diploid. Self sterile."
Baxter,"Self sterile."
"Binet Blanc","Self sterile. Group XX. Day XX. LATE MAY"
"Binet Rouge","Diploid. Self sterile."
"Black Oxford","Diploid. Self sterile."
"Blanc Mollet","Diploid. Self sterile."
bramley,"Diploid. Self sterile."
Brunnsapple,"Self sterile."
Cartigny,"Self sterile. Group XX. Day 20."
"Chisel Jersey","Diploid. Self sterile."
"C'Huero Biz Bras","Triploid. Produces only sterile pollen."
"Coat Jersey","Diploid. Self sterile."
"Court Pendu","Self sterile."
"Crimson King",Triploid.
"Belle de Crollon","Diploid. Self sterile."
Damelot,"Diploid. Self sterile."
"Doux Normandie","Diploid. Self sterile."
Dufflin,"Diploid. Self sterile."
"Ellis Bitter","Diploid. Self sterile."
Feuillard,"Self sterile. after May 10"
"Fenouillet Gris","Diploid. Self sterile."
Fillbarrel,"Diploid. Self sterile."
"Fréquin","Self sterile."
"Fréquin Audievre","Self sterile."
"Fréquin Tardive de la Sarthe","Diploid. Self sterile."
"Golden Harvey","Diploid. Self sterile."
"Grise Dieppoise","Diploid. Self sterile."
"Gros Fréquin","Dipoid. Self sterile."
Jouveaux,"Diploid. Self sterile."
Judeline,"Diploid. Self sterile."
King,"Self sterile."
Langworthy,"Self sterile. Group XX. Day D."
"Maiden Blush","Self sterile."
Major,"Self sterile. Group F. Day 20."
"Marin Onfroy","Diploid. Self sterile. Though the pollen is fertile, it is of poor quality and should not be relied on to pollinate other apple trees"
"Muscadet de Dieppe","Self sterile. Group B. Day 5."
"Néhou","Diploid. Self sterile."
Northwood,"Self sterile."
"Peau de vache","Diploid. Self sterile."
Pigeonnet,"Self sterile."
Redstreak,"Self sterile."
"Reine des Pommes",
"Royal Jersey","Self sterile."
"Stembridge Cluster","Diploid. Self sterile."
"Teign Harvey","Diploid. Self sterile."
"Tom Putt","Diploid. Self sterile."
Vilberie,"Self fertile. Group H. Day 30."
"White Jersey","Diploid. Self sterile."
"Bob White",
"Crimson Gold",
"Gibbs Golden Gage",
Joan,
Linda,
Niedzwetzkyana,"Diploid. Self sterile."
Renown,
"Oratia Beauty","Triploid. No usable pollen."
Alexander,"Diploid. Self sterile."
"Northern Spy","Diploid. Partially self fertile but produces best in the presence of a compatible pollination partner."
"Amur Naliv",
Williams,"Diploid. Self sterile."
"Dermen Black Stayman",
"Spur Winter Banana",
"March #1","Triploid. Self sterile."
"Black Ben Davis","Diploid. Self sterile."
"Hall Keeper","Diploid. Self sterile."
"Yellow Bellflower","Diploid. Self sterile."
"Redspur Delicious",
"Jones Favorite","Diploid. Self sterile."
Lovell,
Mucina,
Stafford,"Diploid. Self sterile."
Foxwhelp,"Diploid. Self sterile."
Paradiso,
Paradiso,
Luke,
Luke,
Nugget,"Diploid. Self sterile."
Trebu,"Diploid. Self sterile."
Sipolins,
Uljanisceva,
"Reveles Bumbierabols",
"Paides Ziemas Abols",
"Krievu Rosmarins",
"Suislepas Rozabols",
Primrouge,
"Rossoshanskoje Polosatoje",
"Uralskoje Nalivnoje",
"Gloria Mundi","Diploid. Self sterile."
Mother,"Triploid. Does not produce viable pollen."
"Kandil Kitaika","Diploid. Self sterile."
Harcourt,"Diploid. Self sterile."
Glenorchie,
Vienna,"Diploid. Self sterile."
"Lubec #1",
"Schöner aus Miltenberg","Diploid. Self sterile."
"Litevsky Jadernac",
"Narjadnoye Crysmskoye",
Novinka,
"Mleevskaya Crasavitsa",
Eurika,
Mantuanskoye,
Obilnoye,
Livadiyskoye,
Mislimka,"Diploid. Self sterile."
"Reinette Russet",
"Loop Giant Spy",
Arkansas,
"Yellow Transparent","Partially self-fertile, but produces the best crops in the presence of a source of viable pollen."
"Korichnoe Polosatoje",
"Sir Prize",
Dayton,
Pristine,
Enterprise,
Jonared,
Snow,
SweeTango,
"Buckeye Gala",
Eden,
King,
"Pink Lady","Diploid. Self sterile."
Honeycrisp,
"Red Delicious","Diploid. Self-sterile."
Rouville,
Lady,
"Winter Banana","Diploid. Self sterile."
"Golden Reinette","Diploid. Self sterile."
Shizuka,
Shizuka,
Lyons,
Gala,
"Johannes Böttner","Diploid. Self fertile but bears best crops in proximity to a suitable source of pollen."
Jonasty,
"Lord Lambourne","Partially self fertile."
"Red Astrachan","Diploid. Self sterile."
Blaxtayman,
Spencer,
Liberty,
Charlotte,
Galarina,
"Geneva Ontario",
Monroe,
Porter,
"Orléans",
Longfield,
Erickson,
Chinook,
Honora,
"Ikorocavka Alaja",
"Lyman Prolific",
"Rouge Belle de Boskoop",
Redwell,
Haralson,
Minnehaha,
Beacon,
Oriole,
Lakeland,
Fireside,
"Brown's Apple",
"Cotton Candy",
Evangeline,
Masonova,"Diploid. Self sterile."
Rubinette,
Antonovka,
Djulabia,Diploid
"Yellow Delicious",